"","MAE","model","competition","openA","openB","seed","N","P"
"1",0.0920765090830478,"kms","Men_Rx_2018","open1 ","open2 ",4321,101460,5
"2",0.0978072091660781,"polyreg","Men_Rx_2018","open1 ","open2 ",4321,101460,5
"3",0.0691783598825015,"kms","Men_Rx_2018","open1 ","open3 ",4321,86850,5
"4",0.109108540159548,"polyreg","Men_Rx_2018","open1 ","open3 ",4321,86850,5
"5",0.0623694147649309,"kms","Men_Rx_2018","open1 ","open4 ",4321,87443,5
"6",0.11476647176211,"polyreg","Men_Rx_2018","open1 ","open4 ",4321,87443,5
"7",0.0606612676931443,"kms","Men_Rx_2018","open1 ","open5 ",4321,89497,5
"8",0.0749672246507445,"polyreg","Men_Rx_2018","open1 ","open5 ",4321,89497,5
"9",0.0655652277602235,"kms","Men_Rx_2018","open2 ","open3 ",4321,87278,5
"10",0.106113501140321,"polyreg","Men_Rx_2018","open2 ","open3 ",4321,87278,5
"11",0.0800042606800798,"kms","Men_Rx_2018","open2 ","open4 ",4321,88128,5
"12",0.110621629142176,"polyreg","Men_Rx_2018","open2 ","open4 ",4321,88128,5
"13",0.0626964151842477,"kms","Men_Rx_2018","open2 ","open5 ",4321,90699,5
"14",0.0745537968639805,"polyreg","Men_Rx_2018","open2 ","open5 ",4321,90699,5
"15",0.0762111968813859,"kms","Men_Rx_2018","open3 ","open4 ",4321,81505,5
"16",0.113295830123169,"polyreg","Men_Rx_2018","open3 ","open4 ",4321,81505,5
"17",0.0551183193056275,"kms","Men_Rx_2018","open3 ","open5 ",4321,80512,5
"18",0.0725031360157681,"polyreg","Men_Rx_2018","open3 ","open5 ",4321,80512,5
"19",0.0657967108850647,"kms","Men_Rx_2018","open4 ","open5 ",4321,84092,5
"20",0.0724731929559992,"polyreg","Men_Rx_2018","open4 ","open5 ",4321,84092,5
"21",0.0872322519427567,"kms","Men_Rx_2017","open1 ","open2 ",4321,32724,5
"22",0.10378631097526,"polyreg","Men_Rx_2017","open1 ","open2 ",4321,32724,5
"23",0.0757717081955269,"kms","Men_Rx_2017","open1 ","open3 ",4321,29630,5
"24",0.110749001554698,"polyreg","Men_Rx_2017","open1 ","open3 ",4321,29630,5
"25",0.0889914142738993,"kms","Men_Rx_2017","open1 ","open4 ",4321,30063,5
"26",0.100452888123741,"polyreg","Men_Rx_2017","open1 ","open4 ",4321,30063,5
"27",0.0736853426339227,"kms","Men_Rx_2017","open1 ","open5 ",4321,26327,5
"28",0.108207846091162,"polyreg","Men_Rx_2017","open1 ","open5 ",4321,26327,5
"29",0.0926361464918826,"kms","Men_Rx_2017","open2 ","open3 ",4321,29136,5
"30",0.115526750347526,"polyreg","Men_Rx_2017","open2 ","open3 ",4321,29136,5
"31",0.0647615366400148,"kms","Men_Rx_2017","open2 ","open4 ",4321,29061,5
"32",0.0970898908000566,"polyreg","Men_Rx_2017","open2 ","open4 ",4321,29061,5
"33",0.0804356699529037,"kms","Men_Rx_2017","open2 ","open5 ",4321,25708,5
"34",0.104678039880676,"polyreg","Men_Rx_2017","open2 ","open5 ",4321,25708,5
"35",0.0683941046163608,"kms","Men_Rx_2017","open3 ","open4 ",4321,27620,5
"36",0.0985422299040137,"polyreg","Men_Rx_2017","open3 ","open4 ",4321,27620,5
"37",0.0833668412030154,"kms","Men_Rx_2017","open3 ","open5 ",4321,24727,5
