"age" "cit" "educ" "engl" "occ" "birth" "sex" "wageinc" "wkswrkd" "yrentry" "powspuma"
"1" 50.3008160656318 1 13 0 102 6 2 75000 52 0 6010
"2" 41.1013903815765 1 9 0 101 6 1 12300 20 0 0
"3" 24.6737403704319 1 9 0 102 6 2 15400 52 0 6010
"4" 50.1995120486245 1 11 0 100 8 1 0 52 0 0
"5" 51.1811235798523 1 11 0 100 6 2 160 1 0 6010
"6" 57.7041342651937 1 11 0 100 6 1 0 0 0 0
"7" 67.7383981128223 1 12 0 101 6 2 0 0 0 0
"8" 42.3454363306519 1 11 0 100 6 1 32000 52 0 6010
"9" 43.3008304433897 1 14 0 100 6 2 39000 48 0 6010
"10" 46.467686329037 1 9 0 100 6 1 20000 52 0 6010
"11" 43.6113898868207 1 12 0 101 6 1 38200 52 0 6010
"12" 54.5134745053947 1 13 0 101 17 1 0 8 0 41300
"13" 69.0574941516388 1 12 0 100 6 1 0 0 0 0
"14" 46.6304130449425 1 13 0 100 6 1 0 52 0 6160
"15" 16.2384000425227 1 6 0 101 34 1 0 1 0 0
"16" 56.9018817634787 1 11 0 100 6 1 62000 52 0 6010
"17" 61.0879818729591 1 13 10 100 27 1 90000 52 0 53060
"18" 22.7820266338531 1 12 0 100 6 2 23000 52 0 6010
"19" 46.433745313203 1 13 0 100 6 1 71000 52 0 6010
"20" 23.5164759685285 1 11 0 102 6 2 10000 48 0 6010
"21" 53.1848068640102 1 13 0 141 6 1 46000 52 0 6010
"22" 47.3419281016104 1 14 0 141 53 1 0 0 0 0
"23" 38.1045279719401 1 13 0 100 6 1 48000 52 0 6010
"24" 42.9345010456163 1 12 0 102 6 1 45000 52 0 6010
"25" 35.0165190608241 1 13 0 140 6 2 2000 35 0 0
"26" 47.4173959139735 1 13 20 102 6 2 48000 52 0 6010
"27" 39.9432413824834 1 11 0 100 6 2 12000 52 0 0
"28" 21.3620795647148 1 11 10 140 6 1 2500 12 0 6010
"29" 45.5847830963321 1 13 0 102 6 2 85000 52 0 6010
"30" 22.1195234549232 1 11 0 100 6 2 17000 52 0 0
"31" 31.1826375569217 1 13 10 101 6 2 16800 52 0 6010
"32" 29.0837505471427 1 13 0 101 6 1 3800 10 0 6010
"33" 22.0975430912804 1 11 10 100 6 1 4000 30 0 6010
"34" 23.3980760530103 1 11 10 100 6 1 14000 52 0 6010
"35" 52.7029605892021 1 14 0 141 6 1 94000 52 0 6010
"36" 39.6042717595119 1 13 0 102 6 2 27000 52 0 6010
"37" 54.0746337410528 1 13 0 102 6 1 17200 35 0 0
"38" 18.0006891351659 1 8 10 101 6 1 1400 6 0 0
"39" 28.3163896587212 1 9 0 101 55 1 0 52 0 6010
"40" 63.8333374662325 1 12 0 141 41 1 0 0 0 0
"41" 22.296990144765 1 12 0 140 6 1 2500 12 0 6010
"42" 35.4225805874448 1 12 0 100 26 1 1500 40 0 6010
"43" 17.4097923503723 1 8 30 101 6 1 6000 52 0 6010
"44" 48.8181916163303 1 11 0 100 6 2 37000 52 0 6010
"45" 43.5835161320865 1 13 0 102 42 1 60000 52 0 6010
"46" 53.0365170626901 1 11 0 101 6 2 5000 20 0 6010
"47" 32.1495787787717 1 9 0 100 6 2 16000 52 0 0
"48" 30.589970566798 1 11 0 106 6 2 25000 48 0 6010
"49" 67.9033058192581 1 13 0 141 38 1 52000 52 0 0
"50" 48.8466562340036 1 13 0 141 8 1 52000 52 0 6010
"51" 38.8184350309893 1 11 10 100 6 1 38000 52 0 6010
"52" 18.6424676205497 3 7 0 102 249 2 100 1 1983 0
"53" 17.8421178348362 1 6 0 100 6 1 2200 20 0 6010
"54" 42.7337237857282 1 11 0 101 34 1 100000 20 0 32200
"55" 47.7808558763936 1 11 0 100 55 1 32000 52 0 6010
"56" 63.5945385685191 1 12 0 101 46 1 5200 10 0 0
"57" 48.3066643560305 1 14 0 100 11 1 70000 52 0 0
"58" 40.211410658434 1 13 0 102 27 1 32000 52 0 6030
"59" 37.1820506763179 1 12 10 101 6 1 0 52 0 6010
"60" 35.7245399863459 1 12 0 100 6 2 15000 52 0 6010
"61" 43.0304465563968 1 13 0 101 6 1 50000 50 0 6010
"62" 57.3332161544822 1 15 0 141 27 1 45000 52 0 6010
"63" 26.1796893218998 1 9 0 100 6 2 20000 52 0 0
"64" 42.168609111337 1 13 0 102 30 1 30000 52 0 6010
"65" 20.0975793641992 1 9 0 140 6 1 19200 52 0 6010
"66" 32.9543284052052 1 9 0 101 28 1 325000 52 0 6010
"67" 22.7102688224986 1 12 0 101 6 1 12000 27 0 6010
"68" 67.182044305373 1 12 0 101 29 1 0 0 0 0
"69" 27.352926122956 1 13 0 100 6 1 30000 52 0 6010
"70" 19.7089465898462 1 9 0 102 6 1 2000 12 0 0
"71" 32.4222956940066 1 10 0 100 6 1 23000 52 0 6010
"72" 40.5808667435776 1 9 0 100 6 1 0 0 0 0
"73" 59.8351127763744 1 11 0 102 53 1 38000 52 0 6020
